,home_team,home_goals,away_goals,away_team,wcm,dif_inter_match,dif_inter_match_won,dif_inter_match_lost,dif_inter_match_tie,dif_inter_goals_sco,dif_inter_goals_con,dif_wc_match,dif_wc_match_won,dif_wc_match_lost,dif_wc_match_tied,dif_wc_goals_sco,dif_wc_goals_con,status
5401,Guinea-Bissau,1,1,Senegal,0,-548.0,-255.0,-144.0,-149.0,-748.0,-500.0,-8.0,-3.0,-2.0,-3.0,-11.0,-10.0,2
5402,Argentina,0,0,Paraguay,0,545.0,412.0,12.0,121.0,1330.0,288.0,54.0,36.0,13.0,5.0,107.0,55.0,2
5403,Gambia,1,2,Senegal,0,-524.0,-250.0,-131.0,-143.0,-729.0,-463.0,-8.0,-3.0,-2.0,-3.0,-11.0,-10.0,3
5404,Guinea,1,1,Senegal,0,-444.0,-226.0,-102.0,-116.0,-622.0,-357.0,-8.0,-3.0,-2.0,-3.0,-11.0,-10.0,2
5405,Ecuador,0,0,Colombia,0,266.0,66.0,136.0,64.0,362.0,510.0,-12.0,-5.0,-5.0,-2.0,-22.0,-19.0,2
5406,Mali,1,2,Senegal,0,-466.0,-230.0,-114.0,-122.0,-666.0,-397.0,-8.0,-3.0,-2.0,-3.0,-11.0,-10.0,3
5407,Chile,0,0,Brazil,0,-508.0,-483.0,64.0,-89.0,-1560.0,-133.0,-76.0,-62.0,-3.0,-11.0,-189.0,-56.0,2
5408,Colombia,0,0,Ecuador,0,-266.0,-66.0,-136.0,-64.0,-362.0,-510.0,12.0,5.0,5.0,2.0,22.0,19.0,2
5409,Guatemala,1,1,South Korea,0,-719.0,-439.0,-94.0,-186.0,-1400.0,-478.0,-34.0,-6.0,-19.0,-9.0,-34.0,-70.0,2
5410,Guinea-Bissau,0,3,Senegal,0,-548.0,-255.0,-144.0,-149.0,-748.0,-500.0,-8.0,-3.0,-2.0,-3.0,-11.0,-10.0,3
5411,Congo,2,2,Cameroon,0,-482.0,-230.0,-98.0,-154.0,-696.0,-428.0,-23.0,-4.0,-12.0,-7.0,-18.0,-43.0,2
5412,Costa Rica,3,0,Cuba,0,570.0,269.0,153.0,148.0,982.0,549.0,15.0,4.0,7.0,4.0,14.0,16.0,1
5413,Guatemala,2,1,South Korea,0,-719.0,-439.0,-94.0,-186.0,-1400.0,-478.0,-34.0,-6.0,-19.0,-9.0,-34.0,-70.0,1
5414,Costa Rica,2,0,Cuba,0,570.0,269.0,153.0,148.0,982.0,549.0,15.0,4.0,7.0,4.0,14.0,16.0,1
5415,Costa Rica,1,1,South Korea,0,-237.0,-197.0,24.0,-64.0,-523.0,-18.0,-16.0,-1.0,-11.0,-4.0,-15.0,-42.0,2
5416,Ecuador,2,2,Argentina,0,-393.0,-343.0,48.0,-98.0,-1084.0,-88.0,-71.0,-39.0,-18.0,-14.0,-127.0,-82.0,2
5417,Peru,1,1,Uruguay,0,-571.0,-304.0,-125.0,-142.0,-1056.0,-597.0,-38.0,-19.0,-10.0,-9.0,-66.0,-41.0,2
5418,Senegal,1,1,Algeria,0,424.0,204.0,108.0,112.0,601.0,384.0,-5.0,0.0,-5.0,0.0,-2.0,-9.0,2
5419,Cameroon,5,0,Sudan,0,504.0,238.0,104.0,162.0,740.0,454.0,23.0,4.0,12.0,7.0,18.0,43.0,1
5420,Egypt,1,0,Tunisia,0,-418.0,-199.0,-99.0,-120.0,-692.0,-403.0,-8.0,-2.0,-4.0,-2.0,-8.0,-13.0,1
5421,Nigeria,0,0,Morocco,0,-385.0,-216.0,-62.0,-107.0,-624.0,-233.0,5.0,4.0,3.0,-2.0,9.0,8.0,2
5422,Ecuador,0,1,Brazil,0,-371.0,-418.0,96.0,-49.0,-1345.0,56.0,-99.0,-69.0,-13.0,-17.0,-219.0,-94.0,3
5423,Argentina,1,0,Brazil,0,22.0,-75.0,48.0,49.0,-261.0,144.0,-28.0,-30.0,5.0,-3.0,-92.0,-12.0,1
5424,Uruguay,0,0,Paraguay,0,476.0,284.0,96.0,96.0,944.0,403.0,29.0,17.0,10.0,2.0,57.0,36.0,2
5425,Algeria,2,0,Senegal,0,-424.0,-204.0,-108.0,-112.0,-601.0,-384.0,5.0,0.0,5.0,0.0,2.0,9.0,1
5426,Morocco,0,0,Nigeria,0,385.0,216.0,62.0,107.0,624.0,233.0,-5.0,-4.0,-3.0,2.0,-9.0,-8.0,2
5427,Sudan,2,0,Cameroon,0,-504.0,-238.0,-104.0,-162.0,-740.0,-454.0,-23.0,-4.0,-12.0,-7.0,-18.0,-43.0,1
5428,Tunisia,0,0,Egypt,0,418.0,199.0,99.0,120.0,692.0,403.0,8.0,2.0,4.0,2.0,8.0,13.0,2
5429,Brazil,5,0,Ecuador,0,371.0,418.0,-96.0,49.0,1345.0,-56.0,99.0,69.0,13.0,17.0,219.0,94.0,1
5430,Uruguay,2,1,Chile,0,461.0,280.0,68.0,113.0,913.0,392.0,23.0,13.0,5.0,5.0,47.0,25.0,1
5431,Uruguay,3,0,Venezuela,0,699.0,352.0,170.0,177.0,1223.0,681.0,56.0,24.0,20.0,12.0,87.0,74.0,1
5432,Argentina,2,2,Ecuador,0,393.0,343.0,-48.0,98.0,1084.0,88.0,71.0,39.0,18.0,14.0,127.0,82.0,2
5433,Denmark,3,1,France,0,3.0,-32.0,41.0,-6.0,19.0,53.0,-46.0,-25.0,-13.0,-8.0,-90.0,-51.0,1
5434,Hungary,1,1,Germany,0,-581.0,-388.0,-68.0,-125.0,-1441.0,-496.0,-77.0,-52.0,-8.0,-17.0,-139.0,-68.0,2
5435,Netherlands,3,0,Iceland,0,620.0,381.0,95.0,144.0,1504.0,588.0,47.0,27.0,9.0,11.0,84.0,43.0,1
5436,Poland,2,2,Romania,0,618.0,292.0,178.0,148.0,1163.0,796.0,13.0,8.0,5.0,0.0,16.0,13.0,2
5437,Switzerland,0,0,Czechoslovakia,0,617.0,203.0,280.0,134.0,867.0,1083.0,7.0,1.0,3.0,3.0,6.0,19.0,2
5438,Chile,2,0,Uruguay,0,-461.0,-280.0,-68.0,-113.0,-913.0,-392.0,-23.0,-13.0,-5.0,-5.0,-47.0,-25.0,1
5439,Brazil,0,0,Argentina,0,-22.0,75.0,-48.0,-49.0,261.0,-144.0,28.0,30.0,-5.0,3.0,92.0,12.0,2
5440,Venezuela,1,2,Uruguay,0,-699.0,-352.0,-170.0,-177.0,-1223.0,-681.0,-56.0,-24.0,-20.0,-12.0,-87.0,-74.0,3
5441,Ghana,2,1,Thailand,0,502.0,280.0,79.0,143.0,911.0,368.0,12.0,4.0,5.0,3.0,13.0,16.0,1
5442,Belgium,1,1,Netherlands,0,-14.0,-58.0,56.0,-12.0,-246.0,203.0,-2.0,-7.0,8.0,-3.0,-18.0,24.0,2
5443,England,0,1,Denmark,0,166.0,195.0,-90.0,61.0,732.0,-154.0,49.0,20.0,13.0,16.0,61.0,38.0,3
5444,Norway,0,0,Wales,0,-408.0,-149.0,-172.0,-87.0,-518.0,-550.0,3.0,1.0,2.0,0.0,3.0,4.0,2
5445,Portugal,5,0,Finland,0,380.0,265.0,21.0,94.0,839.0,157.0,30.0,14.0,10.0,6.0,49.0,35.0,1
5446,Scotland,2,0,Uruguay,0,-443.0,-203.0,-122.0,-118.0,-699.0,-476.0,-33.0,-20.0,-8.0,-5.0,-62.0,-33.0,1
5447,Israel,2,2,Uruguay,0,-720.0,-353.0,-193.0,-174.0,-1225.0,-805.0,-53.0,-24.0,-19.0,-10.0,-86.0,-71.0,2
5448,Ghana,1,1,Togo,0,519.0,275.0,104.0,140.0,906.0,447.0,9.0,4.0,2.0,3.0,12.0,10.0,2
5449,Ghana,1,0,Liberia,0,569.0,284.0,134.0,151.0,948.0,540.0,12.0,4.0,5.0,3.0,13.0,16.0,1
5450,Ivory Coast,0,2,Ghana,0,-469.0,-241.0,-105.0,-123.0,-805.0,-423.0,-3.0,-1.0,0.0,-2.0,0.0,-2.0,3
5451,Ghana,3,1,Togo,0,519.0,275.0,104.0,140.0,906.0,447.0,9.0,4.0,2.0,3.0,12.0,10.0,1
5452,France,1,1,Spain,0,141.0,8.0,114.0,19.0,75.0,473.0,3.0,4.0,1.0,-2.0,21.0,5.0,2
5453,Germany,3,0,Austria,0,624.0,421.0,67.0,136.0,1580.0,559.0,80.0,55.0,9.0,16.0,183.0,78.0,1
5454,Russia,2,0,Poland,0,-585.0,-264.0,-180.0,-141.0,-1075.0,-805.0,11.0,3.0,3.0,5.0,31.0,9.0,1
5455,Denmark,6,0,Luxembourg,0,652.0,361.0,135.0,156.0,1364.0,590.0,20.0,9.0,6.0,5.0,30.0,26.0,1
5456,German DR,3,0,Switzerland,0,-694.0,-241.0,-298.0,-155.0,-1026.0,-1184.0,-37.0,-12.0,-17.0,-8.0,-50.0,-64.0,1
5457,Hungary,0,3,England,0,-683.0,-448.0,-66.0,-169.0,-1654.0,-438.0,-37.0,-14.0,-5.0,-18.0,-4.0,-7.0,3
5458,Republic of Ireland,2,3,Netherlands,0,-498.0,-317.0,-91.0,-90.0,-1311.0,-559.0,-37.0,-25.0,-8.0,-4.0,-76.0,-38.0,3
5459,Scotland,1,1,Belgium,0,-336.0,-162.0,-106.0,-68.0,-709.0,-567.0,-25.0,-16.0,-7.0,-2.0,-43.0,-31.0,2
5460,Wales,5,0,Romania,0,489.0,164.0,239.0,86.0,632.0,814.0,-16.0,-7.0,-7.0,-2.0,-26.0,-28.0,1
5461,Paraguay,1,1,Brazil,0,-523.0,-487.0,36.0,-72.0,-1591.0,-144.0,-82.0,-66.0,-8.0,-8.0,-199.0,-67.0,2
5462,Peru,0,1,Uruguay,0,-571.0,-304.0,-125.0,-142.0,-1056.0,-597.0,-38.0,-19.0,-10.0,-9.0,-66.0,-41.0,3
5463,Brazil,0,0,Paraguay,0,523.0,487.0,-36.0,72.0,1591.0,144.0,82.0,66.0,8.0,8.0,199.0,67.0,2
5464,Uruguay,1,1,Peru,0,571.0,304.0,125.0,142.0,1056.0,597.0,38.0,19.0,10.0,9.0,66.0,41.0,2
5465,El Salvador,0,5,Mexico,0,-713.0,-429.0,-111.0,-173.0,-1418.0,-544.0,-51.0,-16.0,-21.0,-14.0,-59.0,-76.0,3
5466,Germany,5,1,Turkey,0,688.0,456.0,102.0,130.0,1792.0,710.0,99.0,62.0,18.0,19.0,206.0,108.0,1
5467,Hungary,1,0,Denmark,0,-517.0,-253.0,-156.0,-108.0,-922.0,-592.0,12.0,6.0,8.0,-2.0,57.0,31.0,1
5468,Switzerland,2,0,Yugoslavia,0,633.0,215.0,279.0,139.0,869.0,1055.0,0.0,-4.0,4.0,0.0,-10.0,18.0,1
5469,Uruguay,2,0,Brazil,0,-47.0,-203.0,132.0,24.0,-647.0,259.0,-53.0,-49.0,2.0,-6.0,-142.0,-31.0,1
5470,Poland,0,1,Portugal,0,198.0,47.0,86.0,65.0,332.0,395.0,4.0,2.0,3.0,-1.0,-3.0,10.0,3
5471,Brazil,1,1,Uruguay,0,47.0,203.0,-132.0,-24.0,647.0,-259.0,53.0,49.0,-2.0,6.0,142.0,31.0,2
5472,Switzerland,3,1,Belgium,0,41.0,-52.0,78.0,15.0,-191.0,160.0,-11.0,-8.0,-2.0,-1.0,-18.0,-8.0,1
5473,Yugoslavia,0,0,France,0,-645.0,-335.0,-173.0,-137.0,-1138.0,-791.0,-29.0,-18.0,-6.0,-5.0,-60.0,-31.0,2
5474,Portugal,1,0,Russia,0,387.0,217.0,94.0,76.0,743.0,410.0,-15.0,-5.0,-6.0,-4.0,-28.0,-19.0,1
5475,Nigeria,1,0,Senegal,0,-399.0,-203.0,-95.0,-101.0,-566.0,-320.0,13.0,3.0,10.0,0.0,12.0,20.0,1
5476,Bulgaria,1,0,Wales,0,-471.0,-162.0,-213.0,-96.0,-615.0,-739.0,21.0,2.0,14.0,5.0,18.0,49.0,1
5477,Germany,0,1,Northern Ireland,0,562.0,449.0,3.0,110.0,1669.0,306.0,96.0,64.0,17.0,15.0,213.0,102.0,3
5478,Greece,0,2,Denmark,0,-649.0,-340.0,-189.0,-120.0,-1319.0,-841.0,-10.0,-7.0,0.0,-3.0,-25.0,-6.0,3
5479,Luxembourg,0,4,England,0,-818.0,-556.0,-45.0,-217.0,-2096.0,-436.0,-69.0,-29.0,-19.0,-21.0,-91.0,-64.0,3
5480,Netherlands,2,1,Spain,0,102.0,-2.0,86.0,18.0,243.0,374.0,-13.0,-3.0,-7.0,-3.0,-13.0,-24.0,1
5481,Senegal,0,1,Nigeria,0,399.0,203.0,95.0,101.0,566.0,320.0,-13.0,-3.0,-10.0,0.0,-12.0,-20.0,3
5482,Germany,2,1,Albania,0,780.0,495.0,114.0,171.0,1924.0,812.0,109.0,67.0,22.0,20.0,226.0,125.0,1
5483,Mexico,2,0,Sweden,0,494.0,308.0,72.0,114.0,954.0,320.0,6.0,-3.0,8.0,1.0,-20.0,25.0,1
5484,Martinique,4,4,Mexico,0,-847.0,-448.0,-203.0,-196.0,-1509.0,-826.0,-57.0,-16.0,-27.0,-14.0,-60.0,-98.0,2
5485,Algeria,1,2,Switzerland,0,-648.0,-230.0,-283.0,-135.0,-1015.0,-1153.0,-24.0,-9.0,-10.0,-5.0,-37.0,-45.0,3
5486,Ivory Coast,1,0,Switzerland,0,-643.0,-229.0,-280.0,-134.0,-983.0,-1109.0,-28.0,-9.0,-12.0,-7.0,-37.0,-50.0,1
5487,Australia,1,2,China PR,0,330.0,227.0,44.0,59.0,888.0,249.0,16.0,2.0,10.0,4.0,13.0,31.0,3
5488,Zimbabwe,3,2,Switzerland,0,-752.0,-273.0,-311.0,-168.0,-1133.0,-1245.0,-37.0,-12.0,-17.0,-8.0,-50.0,-64.0,1
5489,Kenya,0,0,Switzerland,0,-762.0,-281.0,-314.0,-167.0,-1150.0,-1234.0,-37.0,-12.0,-17.0,-8.0,-50.0,-64.0,2
5490,Mexico,5,0,Canada,0,455.0,296.0,51.0,108.0,1010.0,336.0,54.0,16.0,24.0,14.0,60.0,93.0,1
5491,Belize,0,2,Canada,0,-397.0,-154.0,-152.0,-91.0,-515.0,-497.0,-3.0,0.0,-3.0,0.0,0.0,-5.0,3
5492,Honduras,3,1,Canada,0,-220.0,-108.0,-76.0,-36.0,-317.0,-223.0,6.0,0.0,3.0,3.0,3.0,9.0,1
5493,Honduras,1,0,Canada,0,-220.0,-108.0,-76.0,-36.0,-317.0,-223.0,6.0,0.0,3.0,3.0,3.0,9.0,1
5494,Wales,1,1,Yugoslavia,0,523.0,153.0,259.0,111.0,551.0,851.0,-32.0,-15.0,-12.0,-5.0,-56.0,-42.0,2
5495,Netherlands,5,0,Malta,0,669.0,383.0,123.0,163.0,1560.0,656.0,50.0,27.0,11.0,12.0,86.0,48.0,1
5496,Singapore,2,4,Australia,0,-437.0,-261.0,-71.0,-105.0,-1022.0,-324.0,-16.0,-2.0,-10.0,-4.0,-13.0,-31.0,3
5497,Spain,12,1,Malta,0,567.0,385.0,37.0,145.0,1317.0,282.0,63.0,30.0,18.0,15.0,99.0,72.0,1
5498,Gambia,2,2,Senegal,0,-524.0,-250.0,-131.0,-143.0,-729.0,-463.0,-8.0,-3.0,-2.0,-3.0,-11.0,-10.0,2
5499,Mauritania,0,2,Senegal,0,-524.0,-254.0,-128.0,-142.0,-737.0,-452.0,-8.0,-3.0,-2.0,-3.0,-11.0,-10.0,3
5500,India,1,2,Poland,0,-758.0,-342.0,-218.0,-198.0,-1328.0,-949.0,-34.0,-16.0,-13.0,-5.0,-46.0,-45.0,3
5501,India,0,1,Argentina,0,-874.0,-497.0,-153.0,-224.0,-1682.0,-805.0,-81.0,-43.0,-23.0,-15.0,-137.0,-93.0,3
5502,China PR,0,1,Poland,0,-623.0,-308.0,-158.0,-157.0,-1204.0,-790.0,-34.0,-16.0,-13.0,-5.0,-46.0,-45.0,3
5503,Ivory Coast,3,3,Morocco,0,-405.0,-216.0,-72.0,-117.0,-627.0,-253.0,-7.0,1.0,-4.0,-4.0,-1.0,-8.0,2
5504,Argentina,1,1,Poland,0,116.0,155.0,-65.0,26.0,354.0,-144.0,47.0,27.0,10.0,10.0,91.0,48.0,2
5505,Senegal,1,0,Guinea,0,444.0,226.0,102.0,116.0,622.0,357.0,8.0,3.0,2.0,3.0,11.0,10.0,1
5506,Spain,0,1,Hungary,0,373.0,277.0,1.0,95.0,828.0,66.0,31.0,15.0,4.0,12.0,12.0,15.0,3
5507,Argentina,0,1,China PR,0,739.0,463.0,93.0,183.0,1558.0,646.0,81.0,43.0,23.0,15.0,137.0,93.0,3
5508,China PR,0,1,Poland,0,-623.0,-308.0,-158.0,-157.0,-1204.0,-790.0,-34.0,-16.0,-13.0,-5.0,-46.0,-45.0,3
5509,Gambia,0,1,Ghana,0,-574.0,-288.0,-131.0,-155.0,-965.0,-546.0,-12.0,-4.0,-5.0,-3.0,-13.0,-16.0,3
5510,Liberia,0,0,Senegal,0,-519.0,-246.0,-134.0,-139.0,-712.0,-457.0,-8.0,-3.0,-2.0,-3.0,-11.0,-10.0,2
5511,Guinea,1,2,Ghana,0,-494.0,-264.0,-102.0,-128.0,-858.0,-440.0,-12.0,-4.0,-5.0,-3.0,-13.0,-16.0,3
5512,Ivory Coast,1,0,Senegal,0,-419.0,-203.0,-105.0,-111.0,-569.0,-340.0,1.0,0.0,3.0,-2.0,2.0,4.0,1
5513,Mali,1,1,Senegal,0,-466.0,-230.0,-114.0,-122.0,-666.0,-397.0,-8.0,-3.0,-2.0,-3.0,-11.0,-10.0,2
5514,Italy,5,0,Mexico,0,-508.0,-288.0,-138.0,-82.0,-951.0,-497.0,26.0,29.0,-10.0,7.0,68.0,-21.0,1
5515,Ivory Coast,4,3,Senegal,0,-419.0,-203.0,-105.0,-111.0,-569.0,-340.0,1.0,0.0,3.0,-2.0,2.0,4.0,1
5516,Morocco,1,1,Bulgaria,0,343.0,211.0,25.0,107.0,577.0,87.0,-10.0,-1.0,-6.0,-3.0,-8.0,-31.0,2
5517,Guinea-Bissau,2,3,Senegal,0,-548.0,-255.0,-144.0,-149.0,-748.0,-500.0,-8.0,-3.0,-2.0,-3.0,-11.0,-10.0,3
5518,Mali,1,0,Senegal,0,-466.0,-230.0,-114.0,-122.0,-666.0,-397.0,-8.0,-3.0,-2.0,-3.0,-11.0,-10.0,1
5519,Mauritania,0,6,Senegal,0,-524.0,-254.0,-128.0,-142.0,-737.0,-452.0,-8.0,-3.0,-2.0,-3.0,-11.0,-10.0,3
5520,Bulgaria,2,3,Germany,0,-660.0,-447.0,-80.0,-133.0,-1740.0,-636.0,-83.0,-64.0,-7.0,-12.0,-204.0,-72.0,3
5521,Gambia,0,1,Senegal,0,-524.0,-250.0,-131.0,-143.0,-729.0,-463.0,-8.0,-3.0,-2.0,-3.0,-11.0,-10.0,3
5522,Togo,2,1,Ghana,0,-519.0,-275.0,-104.0,-140.0,-906.0,-447.0,-9.0,-4.0,-2.0,-3.0,-12.0,-10.0,1
5523,Sierra Leone,0,0,Senegal,0,-516.0,-243.0,-134.0,-139.0,-705.0,-455.0,-8.0,-3.0,-2.0,-3.0,-11.0,-10.0,2
5524,Saudi Arabia,4,2,Algeria,0,486.0,258.0,125.0,103.0,859.0,478.0,3.0,0.0,4.0,-1.0,-2.0,20.0,1
5525,Scotland,2,1,Wales,0,-267.0,-48.0,-164.0,-55.0,-200.0,-523.0,18.0,3.0,11.0,4.0,21.0,37.0,1
5526,Belgium,0,1,Germany,0,-120.0,-171.0,75.0,-24.0,-616.0,147.0,-61.0,-47.0,-3.0,-11.0,-158.0,-53.0,3
5527,France,2,0,England,0,-169.0,-163.0,49.0,-55.0,-751.0,101.0,-3.0,5.0,0.0,-8.0,29.0,13.0,1
5528,Luxembourg,0,1,Spain,0,-508.0,-385.0,20.0,-143.0,-1270.0,-64.0,-63.0,-30.0,-18.0,-15.0,-99.0,-72.0,3
5529,Cameroon,0,1,Egypt,0,362.0,181.0,62.0,119.0,577.0,328.0,16.0,4.0,7.0,5.0,13.0,31.0,3
5530,Ghana,1,2,Nigeria,0,449.0,241.0,95.0,113.0,802.0,403.0,-9.0,-2.0,-7.0,0.0,-10.0,-14.0,3
5531,Brunei,1,7,Japan,0,-657.0,-322.0,-189.0,-146.0,-1168.0,-740.0,-21.0,-5.0,-11.0,-5.0,-20.0,-29.0,3
5532,Cameroon,4,1,Togo,0,447.0,226.0,77.0,144.0,681.0,368.0,20.0,4.0,9.0,7.0,17.0,37.0,1
5533,Algeria,2,0,Ghana,0,-474.0,-242.0,-108.0,-124.0,-837.0,-467.0,1.0,-1.0,2.0,0.0,0.0,3.0,1
5534,Ivory Coast,0,2,Cameroon,0,-397.0,-192.0,-78.0,-127.0,-580.0,-344.0,-14.0,-1.0,-7.0,-6.0,-5.0,-29.0,3
5535,Saudi Arabia,1,2,Qatar,0,67.0,75.0,-18.0,10.0,205.0,-29.0,16.0,3.0,11.0,2.0,11.0,39.0,3
5536,Ghana,1,0,Malawi,0,589.0,291.0,143.0,155.0,975.0,563.0,12.0,4.0,5.0,3.0,13.0,16.0,1
5537,Qatar,0,1,United Arab Emirates,0,413.0,205.0,111.0,97.0,698.0,431.0,-3.0,0.0,-3.0,0.0,-2.0,-11.0,3
5538,Algeria,0,0,Cameroon,0,-402.0,-193.0,-81.0,-128.0,-612.0,-388.0,-10.0,-1.0,-5.0,-4.0,-5.0,-24.0,2
5539,Netherlands,6,0,Denmark,0,-42.0,22.0,-69.0,5.0,149.0,-152.0,30.0,18.0,5.0,7.0,56.0,22.0,1
5540,Oman,1,3,Saudi Arabia,0,-520.0,-295.0,-108.0,-117.0,-935.0,-441.0,-16.0,-3.0,-11.0,-2.0,-11.0,-39.0,3
5541,Kuwait,1,2,Qatar,0,-410.0,-183.0,-128.0,-99.0,-641.0,-464.0,3.0,0.0,2.0,1.0,2.0,6.0,3
5542,Iraq,4,0,Saudi Arabia,0,-473.0,-269.0,-106.0,-98.0,-853.0,-441.0,-13.0,-3.0,-8.0,-2.0,-10.0,-35.0,1
5543,Cameroon,3,1,Nigeria,0,377.0,192.0,68.0,117.0,577.0,324.0,2.0,-2.0,0.0,4.0,-5.0,13.0,1
5544,Oman,0,2,Qatar,0,-453.0,-220.0,-126.0,-107.0,-730.0,-470.0,0.0,0.0,0.0,0.0,0.0,0.0,3
5545,Saudi Arabia,1,1,Kuwait,0,477.0,258.0,110.0,109.0,846.0,435.0,13.0,3.0,9.0,1.0,9.0,33.0,2
5546,Bahrain,1,1,Qatar,0,-444.0,-205.0,-139.0,-100.0,-710.0,-494.0,0.0,0.0,0.0,0.0,0.0,0.0,2
5547,Saudi Arabia,2,0,United Arab Emirates,0,480.0,280.0,93.0,107.0,903.0,402.0,13.0,3.0,8.0,2.0,9.0,28.0,1
5548,Panama,1,1,Costa Rica,0,-495.0,-256.0,-118.0,-121.0,-928.0,-454.0,-15.0,-5.0,-5.0,-5.0,-17.0,-17.0,2
5549,Iraq,1,2,Qatar,0,-406.0,-194.0,-124.0,-88.0,-648.0,-470.0,3.0,0.0,3.0,0.0,1.0,4.0,3
5550,Bahrain,0,2,Saudi Arabia,0,-511.0,-280.0,-121.0,-110.0,-915.0,-465.0,-16.0,-3.0,-11.0,-2.0,-11.0,-39.0,3
5551,Switzerland,1,1,Poland,0,-19.0,-66.0,81.0,-34.0,-213.0,222.0,3.0,-4.0,4.0,3.0,4.0,19.0,2
5552,France,1,0,Austria,0,557.0,318.0,114.0,125.0,1042.0,602.0,37.0,22.0,6.0,9.0,77.0,30.0,1
5553,Germany,2,1,Russia,0,645.0,421.0,108.0,116.0,1669.0,720.0,64.0,48.0,6.0,10.0,149.0,71.0,1
5554,Haiti,0,1,Canada,0,-335.0,-141.0,-121.0,-73.0,-457.0,-396.0,0.0,0.0,0.0,0.0,2.0,9.0,3
5555,Iraq,1,1,Qatar,0,-406.0,-194.0,-124.0,-88.0,-648.0,-470.0,3.0,0.0,3.0,0.0,1.0,4.0,2
5556,England,1,0,Northern Ireland,0,664.0,509.0,1.0,154.0,1882.0,248.0,56.0,26.0,14.0,16.0,78.0,41.0,1
5557,Spain,2,1,Denmark,0,-144.0,24.0,-155.0,-13.0,-94.0,-526.0,43.0,21.0,12.0,10.0,69.0,46.0,1
5558,Poland,0,1,Belgium,0,60.0,14.0,-3.0,49.0,22.0,-62.0,-14.0,-4.0,-6.0,-4.0,-22.0,-27.0,3
5559,France,1,0,Germany,0,-67.0,-103.0,47.0,-11.0,-538.0,43.0,-43.0,-33.0,-3.0,-7.0,-106.0,-48.0,1
5560,Switzerland,0,0,Sweden,0,424.0,140.0,193.0,91.0,598.0,759.0,-14.0,-7.0,-2.0,-5.0,-30.0,-9.0,2
5561,Wales,1,0,England,0,-291.0,-345.0,135.0,-81.0,-1338.0,161.0,-64.0,-28.0,-18.0,-18.0,-87.0,-60.0,1
5562,Czechoslovakia,1,0,Denmark,0,-632.0,-291.0,-215.0,-126.0,-1155.0,-872.0,10.0,2.0,8.0,0.0,14.0,19.0,1
5563,Germany,1,0,Italy,0,517.0,343.0,106.0,68.0,1402.0,629.0,26.0,22.0,5.0,-1.0,98.0,48.0,1
5564,Wales,1,1,Northern Ireland,0,373.0,164.0,136.0,73.0,544.0,409.0,-8.0,-2.0,-4.0,-2.0,-9.0,-19.0,2
5565,Republic of Ireland,0,0,Poland,0,-544.0,-273.0,-144.0,-127.0,-1087.0,-700.0,-21.0,-14.0,-10.0,3.0,-36.0,-35.0,2
5566,Canada,0,2,Italy,0,53.0,-8.0,87.0,-26.0,-59.0,161.0,-80.0,-45.0,-14.0,-21.0,-128.0,-72.0,3
5567,Scotland,1,1,England,0,-558.0,-393.0,-29.0,-136.0,-1538.0,-362.0,-46.0,-25.0,-7.0,-14.0,-66.0,-23.0,2
5568,Switzerland,0,4,Spain,0,129.0,-112.0,220.0,21.0,-194.0,737.0,-26.0,-18.0,-1.0,-7.0,-49.0,-8.0,3
5569,United States,0,0,Italy,0,335.0,149.0,157.0,29.0,461.0,499.0,-50.0,-37.0,2.0,-15.0,-91.0,-15.0,2
5570,Hungary,1,1,Spain,0,-373.0,-277.0,-1.0,-95.0,-828.0,-66.0,-31.0,-15.0,-4.0,-12.0,-12.0,-15.0,2
5571,Japan,1,0,China PR,0,469.0,282.0,94.0,93.0,989.0,453.0,21.0,5.0,11.0,5.0,20.0,29.0,1
5572,France,2,0,Scotland,0,389.0,230.0,78.0,81.0,787.0,463.0,43.0,30.0,7.0,6.0,95.0,36.0,1
5573,England,0,2,Russia,0,747.0,481.0,106.0,160.0,1882.0,662.0,24.0,10.0,3.0,11.0,14.0,10.0,3
5574,Portugal,2,3,Yugoslavia,0,454.0,234.0,112.0,108.0,750.0,438.0,-7.0,-2.0,-3.0,-2.0,-11.0,-11.0,3
5575,South Korea,2,0,Guatemala,0,719.0,439.0,94.0,186.0,1400.0,478.0,34.0,6.0,19.0,9.0,34.0,70.0,1
5576,Belgium,2,2,Hungary,0,461.0,217.0,143.0,101.0,825.0,643.0,16.0,5.0,5.0,6.0,-19.0,15.0,2
5577,Norway,1,0,Wales,0,-408.0,-149.0,-172.0,-87.0,-518.0,-550.0,3.0,1.0,2.0,0.0,3.0,4.0,1
5578,Sweden,0,1,Denmark,0,-439.0,-228.0,-128.0,-83.0,-886.0,-548.0,31.0,10.0,13.0,8.0,50.0,47.0,3
5579,Spain,0,1,Yugoslavia,0,504.0,327.0,59.0,118.0,1063.0,318.0,26.0,14.0,5.0,7.0,39.0,26.0,3
5580,Denmark,1,1,Bulgaria,0,596.0,312.0,168.0,116.0,1221.0,732.0,-6.0,6.0,-9.0,-3.0,8.0,-27.0,2
5581,Luxembourg,1,2,Portugal,0,-458.0,-292.0,-33.0,-133.0,-957.0,-184.0,-30.0,-14.0,-10.0,-6.0,-49.0,-35.0,3
